Position Holder,Name of Share Issuer,ISIN,Net Short Position (%),Position Date
BG MASTER FUND PLC,NOKIA OYJ,FI0009000681,0.5,10/16/2013
CAPEVIEW CAPITAL LLP,TALVIVAARAN KAIVOSOSAKEYHTIÖ OYJ,FI0009014716,0.51,10/16/2013
ADAGE CAPITAL MANAGEMENT L.P.,OUTOKUMPU OYJ,FI0009002422,0.8,10/15/2013
"ZBI EQUITIES, L.L.C.",UPM-KYMMENE OYJ,FI0009005987,0.48,10/15/2013
ADAGE CAPITAL MANAGEMENT L.P.,NESTE OIL OYJ,FI0009013296,0.57,10/15/2013
CONATUS CAPITAL MANAGEMENT LP,OUTOTEC OYJ,FI0009014575,0.6,10/15/2013
AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,OUTOTEC,FI0009014575,0.85,10/14/2013
CONATUS CAPITAL MANAGEMENT LP,METSO OYJ,FI0009007835,0.48,10/14/2013
"ZBI EQUITIES, L.L.C.",UPM-KYMMENE OYJ,FI0009005987,0.55,10/14/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,1.25,10/14/2013
CITADEL EUROPE LLP,OUTOTEC OYJ,FI0009014575,1.37,10/11/2013
"ZBI EQUITIES, L.L.C.",UPM-KYMMENE OYJ,FI0009005987,0.64,10/11/2013
"S.A.C. CAPITAL ADVISORS, L.P.",NESTE OIL OYJ,FI0009013296,0.45,10/11/2013
POLYGON GLOBAL PARTNERS LLP,TALVIVAARAN KAIVOSOSAKEYHTIÖ OYJ,FI0009014716,1.64,10/10/2013
ADAGE CAPITAL MANAGEMENT L.P.,OUTOKUMPU OYJ,FI0009002422,0.73,10/10/2013
AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,UPM KYMMENE OYJ,FI0009005987,1.37,10/10/2013
CITADEL EUROPE LLP,OUTOTEC OYJ,FI0009014575,1.48,10/10/2013
AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,STORA ENSO OYJ,FI0009005961,0.68,10/10/2013
CONATUS CAPITAL MANAGEMENT LP,OUTOTEC OYJ,FI0009014575,0.52,10/09/2013
CQS (UK) LLP,NOKIA OYJ,FI0009000681,0.51,10/09/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,1.38,10/09/2013
"ZBI EQUITIES, L.L.C.",UPM-KYMMENE OYJ,FI0009005987,0.76,10/09/2013
BG MASTER FUND PLC,NOKIA OYJ,FI0009000681,0.61,10/09/2013
"ZBI EQUITIES, L.L.C.",STORA ENSO OYJ,FI0009005961,0.48,10/09/2013
AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,STORA ENSO OYJ,FI0009005961,0.78,10/04/2013
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",CARGOTEC OYJ,FI0009013429,0.6,10/04/2013
AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,UPM KYMMENE OYJ,FI0009005987,1.47,10/04/2013
ODEY ASSET MANAGEMENT LLP,KEMIRA OYJ,FI0009004824,1.25,10/03/2013
BOCAGE CAPITAL LLC,OUTOKUMPU STK (HEL),FI0009002422,0.58,10/03/2013
CONATUS CAPITAL MANAGEMENT LP,METSO OYJ,FI0009007835,0.59,10/02/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,1.42,10/02/2013
"S.A.C. CAPITAL ADVISORS, L.P.",NESTE OIL OYJ,FI0009013296,0.58,10/01/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,1.54,09/30/2013
CONATUS CAPITAL MANAGEMENT LP,METSO OYJ,FI0009007835,0.67,09/30/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,1.62,09/27/2013
UBS O'CONNOR LIMITED,OUTOTEC OYJ,FI0009014575,0.49,09/25/2013
"S.A.C. CAPITAL ADVISORS, L.P.",NESTE OIL OYJ,FI0009013296,0.68,09/24/2013
ADELPHI CAPITAL LLP,KESKO OYJ,FI0009000202,0.69,09/23/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,1.78,09/23/2013
"ZBI EQUITIES, L.L.C.",STORA ENSO OYJ,FI0009005961,0.54,09/20/2013
"AQR CAPITAL MANAGEMENT, LLC",NOKIAN RENKAAT OYJ,FI0009005318,0.99,09/20/2013
"ZBI EQUITIES, L.L.C.",STORA ENSO OYJ,FI0009005961,0.69,09/19/2013
"ZBI EQUITIES, L.L.C.",STORA ENSO OYJ,FI0009005961,0.88,09/18/2013
ODEY ASSET MANAGEMENT LLP,KEMIRA OYJ,FI0009004824,1.33,09/17/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,1.84,09/17/2013
"LUXOR CAPITAL GROUP, LP",OUTOKUMPU OYJ,FI0009002422,2.72,09/16/2013
"ZBI EQUITIES, L.L.C.",STORA ENSO OYJ,FI0009005961,0.99,09/16/2013
"MAVERICK CAPITAL, LTD.",OUTOTEC OYJ,FI0009014575,3.2,09/16/2013
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,0.58,09/16/2013
"DISCOVERY CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,0.0,09/13/2013
"ZBI EQUITIES, L.L.C.",STORA ENSO OYJ,FI0009005961,1.04,09/13/2013
"BLUE RIDGE CAPITAL, L.L.C.",NOKIA OYJ ,FI0009000681,0.36,09/12/2013
"MAVERICK CAPITAL, LTD.",OUTOTEC OYJ,FI0009014575,3.13,09/12/2013
GAM INVESTMENT MANAGEMENT (SWITZERLAND) LTD. - LUGANO BRANCH,SANOMA OYJ,FI0009007694,0.44,09/12/2013
"ZBI EQUITIES, L.L.C.",STORA ENSO OYJ,FI0009005961,1.15,09/12/2013
"DISCOVERY CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,1.31,09/12/2013
MILLENNIUM CAPITAL PARTNERS LLP,OUTOTEC OYJ,FI0009014575,0.61,09/11/2013
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,0.68,09/11/2013
"BLUE RIDGE CAPITAL, L.L.C.",NOKIA OYJ ,FI0009000681,0.56,09/11/2013
BOCAGE CAPITAL LLC,NESTE OIL OYJ,FI0009013296,0.44,09/11/2013
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",CARGOTEC OYJ,FI0009013429,0.59,09/10/2013
TPG-AXON MANAGEMENT LP,NESTE OIL OYJ,FI0009013296,0.31,09/10/2013
"BLUE RIDGE CAPITAL, L.L.C.",NOKIA OYJ ,FI0009000681,0.67,09/10/2013
TPG-AXON MANAGEMENT LP,NESTE OIL OYJ,FI0009013296,0.53,09/09/2013
AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,OUTOTEC OYJ,FI0009014575,0.79,09/06/2013
"PENNANT CAPITAL MANAGEMENT, LLC",OUTOKUMPU OYJ,FI0009002422,0.49,09/06/2013
"ZBI EQUITIES, L.L.C.",STORA ENSO OYJ,FI0009005961,1.24,09/06/2013
FIL FUND MANAGEMENT LIMITED,OUTOTEC OYJ,FI0009014575,0.39,09/06/2013
BOCAGE CAPITAL LLC,NESTE OIL OYJ,FI0009013296,0.59,09/06/2013
"MAVERICK CAPITAL, LTD.",OUTOTEC OYJ,FI0009014575,3.04,09/06/2013
FIL FUND MANAGEMENT LIMITED,OUTOTEC OYJ,FI0009014575,0.5,09/05/2013
"ZBI EQUITIES, L.L.C.",STORA ENSO OYJ,FI0009005961,1.59,09/05/2013
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,0.78,09/05/2013
"PENNANT CAPITAL MANAGEMENT, LLC",OUTOKUMPU OYJ,FI0009002422,0.58,09/04/2013
"MAVERICK CAPITAL, LTD.",NOKIA OYJ,FI0009000681,0.27,09/04/2013
"S.A.C. CAPITAL ADVISORS, L.P.",NESTE OIL OYJ ,FI0009013296,0.72,09/04/2013
"BROOKSIDE CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,0.0,09/03/2013
"MAVERICK CAPITAL, LTD.",NOKIA OYJ,FI0009000681,0.71,09/03/2013
"BLUE RIDGE CAPITAL, L.L.C.",NOKIA OYJ ,FI0009000681,0.72,09/03/2013
BOCAGE CAPITAL LLC,OUTOKUMPU OYJ,FI0009002422,0.61,09/03/2013
"PENNANT CAPITAL MANAGEMENT, LLC",OUTOKUMPU OYJ,FI0009002422,0.64,09/03/2013
"DISCOVERY CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,1.75,09/03/2013
LONE PINE CAPITAL LLC,NOKIA OYJ,FI0009000681,0.0,09/03/2013
VIKING GLOBAL INVESTORS LP,NOKIA OYJ,FI0009000681,0.0,09/03/2013
VIKING GLOBAL INVESTORS LP,NOKIA OYJ,FI0009000681,1.59,09/02/2013
EGERTON CAPITAL (UK) LLP,OUTOTEC OYJ,FI0009014575,0.46,09/02/2013
"PENNANT CAPITAL MANAGEMENT, LLC",OUTOKUMPU OYJ,FI0009002422,0.79,08/29/2013
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,0.88,08/29/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,1.9,08/29/2013
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.49,08/28/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,2.06,08/28/2013
"S.A.C. CAPITAL ADVISORS, L.P.",NESTE OIL OYJ ,FI0009013296,0.67,08/28/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,2.1,08/27/2013
"PENNANT CAPITAL MANAGEMENT, LLC",OUTOKUMPU OYJ,FI0009002422,0.89,08/26/2013
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",CARGOTEC OYJ,FI0009013429,0.69,08/26/2013
"AQR CAPITAL MANAGEMENT, LLC",NOKIAN RENKAAT OYJ,FI0009005318,1.01,08/22/2013
UBS O'CONNOR LIMITED,OUTOTEC OYJ,FI0009014575,0.56,08/21/2013
"ZBI EQUITIES, L.L.C.",STORA ENSO OYJ,FI0009005961,1.97,08/21/2013
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,OUTOTEC OYJ,FI0009014575,0.91,08/20/2013
"PENNANT CAPITAL MANAGEMENT, LLC",OUTOKUMPU OYJ,FI0009002422,0.98,08/20/2013
ODEY ASSET MANAGEMENT LLP,METSO OYJ,FI0009007835,0.64,08/20/2013
VIKING GLOBAL INVESTORS LP,KONE OYJ,FI0009013403,1.2,08/19/2013
"ZBI EQUITIES, L.L.C.",STORA ENSO OYJ,FI0009005961,2.08,08/16/2013
"AQR CAPITAL MANAGEMENT, LLC",CARGOTEC OYJ,FI0009013429,0.62,08/16/2013
ODEY ASSET MANAGEMENT LLP,KEMIRA OYJ,FI0009004824,1.2,08/16/2013
ODEY ASSET MANAGEMENT LLP,METSO OYJ,FI0009007835,0.58,08/14/2013
BOCAGE CAPITAL LLC,OUTOKUMPU OYJ,FI0009002422,0.54,08/14/2013
AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,SANOMA OYJ,FI0009007694,0.36,08/14/2013
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,0.92,08/14/2013
VIKING GLOBAL INVESTORS LP,NOKIA OYJ,FI0009000681,1.61,08/14/2013
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.58,08/14/2013
AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,SANOMA OYJ,FI0009007694,0.74,08/13/2013
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.68,08/12/2013
"ZBI EQUITIES, L.L.C.",UPM-KYMMENE OYJ,FI0009005987,0.87,08/12/2013
"S.A.C. CAPITAL ADVISORS, L.P.",NESTE OIL OYJ ,FI0009013296,0.71,08/12/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,2.04,08/12/2013
"ZBI EQUITIES, L.L.C.",STORA ENSO OYJ,FI0009005961,2.17,08/12/2013
"LUXOR CAPITAL GROUP, LP",OUTOKUMPU OYJ,FI0009002422,2.62,08/12/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,1.93,08/09/2013
ODEY ASSET MANAGEMENT LLP,METSO OYJ,FI0009007835,0.67,08/09/2013
"PENNANT CAPITAL MANAGEMENT, LLC",OUTOKUMPU OYJ,FI0009002422,1.09,08/09/2013
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.82,08/09/2013
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,0.8,08/07/2013
"CARLSON CAPITAL, L.P.",OUTOTEC OYJ,FI0009014575,0.46,08/07/2013
MILLENNIUM CAPITAL PARTNERS LLP,OUTOTEC OYJ,FI0009014575,0.8,08/07/2013
MILLENNIUM CAPITAL PARTNERS LLP,OUTOTEC OYJ,FI0009014575,0.79,08/06/2013
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,UPM-KYMMENE,FI0009005987,0.47,08/06/2013
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.92,08/02/2013
AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,OUTOTEC OYJ,FI0009014575,0.85,08/02/2013
EGERTON CAPITAL (UK) LLP,OUTOTEC OYJ,FI0009014575,0.57,08/02/2013
AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,OUTOTEC OYJ,FI0009014575,1.04,08/01/2013
"MAVERICK CAPITAL, LTD.",OUTOTEC OYJ,FI0009014575,2.9,08/01/2013
"MAVERICK CAPITAL, LTD.",NOKIA OYJ,FI0009000681,1.08,08/01/2013
CITADEL EUROPE LLP,OUTOTEC OYJ,FI0009014575,1.51,08/01/2013
CITADEL EUROPE LLP,OUTOTEC OYJ,FI0009014575,1.49,07/31/2013
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,0.73,07/31/2013
"PENNANT CAPITAL MANAGEMENT, LLC",OUTOKUMPU OYJ,FI0009002422,1.19,07/31/2013
"ZBI EQUITIES, L.L.C.",STORA ENSO OYJ,FI0009005961,2.28,07/31/2013
"MAVERICK CAPITAL, LTD.",OUTOTEC OYJ,FI0009014575,2.84,07/31/2013
ODEY ASSET MANAGEMENT LLP,METSO OYJ,FI0009007835,0.76,07/30/2013
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.81,07/30/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,1.85,07/30/2013
"S.A.C. CAPITAL ADVISORS, L.P.",NESTE OIL OYJ ,FI0009013296,0.67,07/30/2013
POLYGON GLOBAL PARTNERS LLP,TALVIVAARAM KAIVOSOSAKEYHTIÖ OYJ,FI0009014716,1.54,07/29/2013
VIKING GLOBAL INVESTORS LP,KONE OYJ,FI0009013403,1.12,07/29/2013
CONATUS CAPITAL MANAGEMENT LP,METSO OYJ,FI0009007835,0.71,07/26/2013
"BLUE RIDGE CAPITAL, L.L.C.",NOKIA OYJ ,FI0009000681,1.44,07/25/2013
CONATUS CAPITAL MANAGEMENT LP,METSO OYJ,FI0009007835,0.65,07/25/2013
"LUXOR CAPITAL GROUP, LP",OUTOKUMPU OYJ,FI0009002422,2.57,07/25/2013
CITADEL EUROPE LLP,OUTOTEC OYJ,FI0009014575,1.3,07/25/2013
ODEY ASSET MANAGEMENT LLP,METSO OYJ,FI0009007835,0.89,07/25/2013
"GREENLIGHT CAPITAL, INC.",OUTOTEC OYJ,FI0009014575,1.64,07/24/2013
"AXIAL CAPITAL MANAGEMENT, LLC",SANOMA OYJ,FI0009007694,0.46,07/24/2013
POLYGON GLOBAL PARTNERS LLP,TALVIVAARAN KAIVOSOSAKEYHTIÖ OYJ,FI0009014716,1.45,07/24/2013
CITADEL EUROPE LLP,OUTOTEC OYJ,FI0009014575,1.29,07/24/2013
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,OUTOTEC OYJ,FI0009014575,0.84,07/23/2013
POLYGON GLOBAL PARTNERS LLP,TALVIVAARAN KAIVOSOSAKEYHTIÖ OYJ,FI0009014716,1.26,07/23/2013
MILLENNIUM CAPITAL PARTNERS LLP,OUTOTEC OYJ,FI0009014575,0.81,07/22/2013
"DISCOVERY CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,2.26,07/22/2013
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.78,07/19/2013
VIKING GLOBAL INVESTORS LP,KONE OYJ,FI0009013403,1.05,07/19/2013
MILLENNIUM CAPITAL PARTNERS LLP,OUTOTEC OYJ,FI0009014575,0.75,07/19/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,1.99,07/19/2013
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,0.66,07/19/2013
CITADEL EUROPE LLP,OUTOTEC OYJ,FI0009014575,1.34,07/19/2013
HIGHBRIDGE CAPITAL MANAGEMENT LLC,OUTOTEC OYJ,FI0009014575,0.43,07/19/2013
"GREENLIGHT CAPITAL, INC.",OUTOTEC OYJ,FI0009014575,1.57,07/19/2013
VIKING GLOBAL INVESTORS LP,NOKIA OYJ,FI0009000681,1.57,07/18/2013
"GREENLIGHT CAPITAL, INC.",OUTOTEC OYJ,FI0009014575,1.46,07/18/2013
"GREENLIGHT CAPITAL, INC.",OUTOTEC OYJ,FI0009014575,1.28,07/17/2013
"MAVERICK CAPITAL, LTD.",OUTOTEC OYJ,FI0009014575,2.72,07/17/2013
VIKING GLOBAL INVESTORS LP,KONE OYJ,FI0009013403,0.93,07/17/2013
"GREENLIGHT CAPITAL, INC.",OUTOTEC OYJ,FI0009014575,0.78,07/16/2013
AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,OUTOTEC,FI0009014575,1.12,07/16/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,2.07,07/16/2013
"DISCOVERY CAPITAL MANAGEMENT, LLC",NOKIA OYJ ,FI0009000681,2.1,07/16/2013
HIGHBRIDGE CAPITAL MANAGEMENT LLC,OUTOTEC OYJ,FI0009014575,0.53,07/16/2013
"S.A.C. CAPITAL ADVISORS, L.P.",NESTE OIL OYJ ,FI0009013296,0.7,07/16/2013
VIKING GLOBAL INVESTORS LP,KONE OYJ,FI0009013403,0.81,07/15/2013
ODEY ASSET MANAGEMENT LLP,METSO OYJ,FI0009007835,0.72,07/15/2013
MARSHALL WACE LLP,NESTE OIL OYJ,FI0009013296,0.49,07/12/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,2.15,07/12/2013
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,0.71,07/12/2013
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,OUTOTEC OYJ,FI0009014575,0.91,07/12/2013
"MAVERICK CAPITAL, LTD.",OUTOTEC OYJ,FI0009014575,2.59,07/12/2013
HIGHBRIDGE CAPITAL MANAGEMENT LLC,OUTOTEC OYJ,FI0009014575,0.6,07/12/2013
"AVENUE CAPITAL MANAGEMENT II, L.P.",UPM-KYMMENE OYJ,FI0009005987,0.49,07/11/2013
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,0.62,07/11/2013
VIKING GLOBAL INVESTORS LP,KONE OYJ,FI0009013403,0.61,07/11/2013
"MAVERICK CAPITAL, LTD.",OUTOTEC OYJ,FI0009014575,2.47,07/11/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,2.07,07/11/2013
POLYGON GLOBAL PARTNERS LLP,TALVIVAARA MINING COMPANY PLC,FI0009014716,1.1,07/11/2013
VIKING GLOBAL INVESTORS LP,NOKIA OYJ,FI0009000681,1.46,07/10/2013
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,0.52,07/10/2013
AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,OUTOTEC,FI0009014575,1.04,07/10/2013
"MAVERICK CAPITAL, LTD.",OUTOTEC OYJ,FI0009014575,2.33,07/10/2013
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",CARGOTEC,FI0009013429,0.7,07/10/2013
HIGHBRIDGE CAPITAL MANAGEMENT LLC,OUTOTEC OYJ,FI0009014575,0.51,07/09/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,1.99,07/09/2013
VIKING GLOBAL INVESTORS LP,NOKIA OYJ,FI0009000681,1.38,07/09/2013
"MAVERICK CAPITAL, LTD.",OUTOTEC OYJ,FI0009014575,2.25,07/09/2013
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,OUTOTEC OYJ,FI0009014575,0.83,07/09/2013
"S.A.C. CAPITAL ADVISORS, L.P.",NESTE OIL OYJ ,FI0009013296,0.69,07/09/2013
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,OUTOTEC OYJ,FI0009014575,0.79,07/08/2013
FEST N.V. ,NOKIA OYJ,FI0009000681,0.35,07/08/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,1.8,07/05/2013
"MAVERICK CAPITAL, LTD.",OUTOTEC OYJ,FI0009014575,2.01,07/05/2013
CITADEL EUROPE LLP,OUTOTEC OYJ,FI0009014575,1.21,07/05/2013
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,0.49,07/05/2013
"S.A.C. CAPITAL ADVISORS, L.P.",NESTE OIL OYJ ,FI0009013296,0.7,07/05/2013
TURIYA ADVISORS ASIA LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.41,07/04/2013
"D. E. SHAW & CO., L.P.",NESTE OIL OYJ,FI0009013296,0.7,07/04/2013
POLYGON GLOBAL PARTNERS LLP,TALVIVAARA MINING COMPANY PLC,FI0009014716,1.02,07/04/2013
"MAVERICK CAPITAL, LTD.",OUTOTEC OYJ,FI0009014575,1.89,07/04/2013
LONE PINE CAPITAL LLC,NOKIA OYJ,FI0009000681,1.4,07/04/2013
VIKING GLOBAL INVESTORS LP,KONE OYJ,FI0009013403,0.54,07/03/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,1.72,07/03/2013
"MAVERICK CAPITAL, LTD.",OUTOTEC OYJ,FI0009014575,1.79,07/03/2013
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,OUTOTEC OYJ,FI0009014575,0.8,07/02/2013
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,UPM-KYMMENE,FI0009005987,0.52,07/01/2013
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,0.58,07/01/2013
"DISCOVERY CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,2.0,07/01/2013
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.83,07/01/2013
"BLUE RIDGE CAPITAL, L.L.C.",METSO OYJ ,FI0009007835,2.13,07/01/2013
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.79,06/28/2013
"BLUE RIDGE CAPITAL, L.L.C.",METSO OYJ ,FI0009007835,2.02,06/28/2013
"DISCOVERY CAPITAL MANAGEMENT, LLC",NOKIA OYJ ,FI0009000681,1.85,06/27/2013
POLYGON GLOBAL PARTNERS LLP,TALVIVAARA MINING COMPANY PLC,FI0009014716,0.9,06/27/2013
HIGHBRIDGE CAPITAL MANAGEMENT LLC,OUTOTEC OYJ,FI0009014575,0.49,06/27/2013
"AXIAL CAPITAL MANAGEMENT, LLC",SANOMA OYJ,FI0009007694,0.59,06/26/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,1.53,06/25/2013
HIGHBRIDGE CAPITAL MANAGEMENT LLC,OUTOTEC OYJ,FI0009014575,0.52,06/25/2013
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,OUTOTEC OYJ,FI0009014575,0.71,06/25/2013
"BROOKSIDE CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,0.52,06/25/2013
"MAVERICK CAPITAL, LTD.",OUTOTEC OYJ,FI0009014575,1.68,06/25/2013
"MAVERICK CAPITAL, LTD.",STORA ENSO OYJ,FI0009005961,0.48,06/25/2013
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",CARGOTEC,FI0009013429,0.6,06/25/2013
"MAVERICK CAPITAL, LTD.",STORA ENSO OYJ,FI0009005961,0.55,06/24/2013
"MAVERICK CAPITAL, LTD.",OUTOTEC OYJ,FI0009014575,1.83,06/24/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,1.45,06/20/2013
ODEY ASSET MANAGEMENT LLP,METSO OYJ,FI0009007835,0.69,06/20/2013
"HOPLITE CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,0.43,06/20/2013
"D. E. SHAW & CO., L.P.",NESTE OIL OYJ,FI0009013296,0.6,06/20/2013
"MAVERICK CAPITAL, LTD.",OUTOTEC OYJ,FI0009014575,1.97,06/19/2013
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.81,06/19/2013
POLYGON GLOBAL PARTNERS LLP,TALVIVAARAN KAIVOSOSAKEYHTIÖ OYJ,FI0009014716,0.82,06/19/2013
ODEY ASSET MANAGEMENT LLP,METSO OYJ,FI0009007835,0.55,06/19/2013
"DISCOVERY CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,1.71,06/18/2013
"MAVERICK CAPITAL, LTD.",OUTOTEC OYJ,FI0009014575,2.04,06/18/2013
"ZBI EQUITIES, L.L.C.",UPM-KYMMENE OYJ,FI0009005987,0.99,06/14/2013
"ZBI EQUITIES, L.L.C.",STORA ENSO OYJ,FI0009005961,2.33,06/14/2013
POLYGON GLOBAL PARTNERS LLP,TALVIVAARAN KAIVOSOSAKEYHTIÖ OYJ,FI0009014716,0.7,06/13/2013
UBS O'CONNOR LIMITED,OUTOTEC OYJ,FI0009014575,0.45,06/13/2013
AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,OUTOTEC OYJ,FI0009014575,0.93,06/12/2013
MILLENNIUM CAPITAL PARTNERS LLP,OUTOTEC OYJ,FI0009014575,0.68,06/12/2013
"AQR CAPITAL MANAGEMENT, LLC",NOKIAN RENKAAT OYJ,FI0009005318,0.98,06/12/2013
VIKING GLOBAL INVESTORS LP,NOKIA OYJ,FI0009000681,1.28,06/12/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,1.57,06/12/2013
"MAVERICK CAPITAL, LTD.",OUTOTEC OYJ,FI0009014575,2.15,06/12/2013
"MAVERICK CAPITAL, LTD.",STORA ENSO OYJ,FI0009005961,0.67,06/11/2013
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.79,06/11/2013
AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,OUTOTEC OYJ,FI0009014575,0.83,06/11/2013
"MAVERICK CAPITAL, LTD.",OUTOTEC OYJ,FI0009014575,2.24,06/11/2013
MILLENNIUM CAPITAL PARTNERS LLP,OUTOTEC OYJ,FI0009014575,0.7,06/11/2013
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.8,06/10/2013
"MAVERICK CAPITAL, LTD.",OUTOTEC OYJ,FI0009014575,2.39,06/10/2013
BOCAGE CAPITAL LLC,NESTE OIL OYJ,FI0009013296,0.64,06/10/2013
CARLSON CAPITAL UK LLP,OUTOTEC OYJ,FI0009014575,1.62,06/10/2013
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.79,06/07/2013
"MAVERICK CAPITAL, LTD.",OUTOTEC OYJ,FI0009014575,2.56,06/07/2013
"MAVERICK CAPITAL, LTD.",STORA ENSO OYJ,FI0009005961,0.76,06/07/2013
