Position Holder,LEI of Position Holder,Share Issuer,LEI of Share Issuer,ISIN,Net Short Position (%),Position Date
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.69,08/10/2015
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.71,17/11/2015
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.67,21/01/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.72,02/02/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.81,04/02/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.9,17/02/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.03,25/02/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.11,10/03/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.21,16/03/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.19,29/03/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.23,05/04/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.31,11/04/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.29,28/04/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.34,02/05/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.27,04/05/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.33,06/05/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.45,17/05/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.5,24/05/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.62,03/06/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.74,13/06/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.8,15/06/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.79,16/06/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.81,17/06/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.76,20/06/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.81,23/06/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.92,30/06/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.02,08/07/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.1,10/08/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.21,18/08/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.32,25/08/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.42,12/09/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.5,16/09/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.61,23/09/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.7,28/09/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.8,05/10/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.9,11/10/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.04,14/10/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.11,17/10/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.21,25/10/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.3,28/10/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.4,02/11/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.52,11/11/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.6,16/11/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.73,21/11/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.8,30/11/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.79,01/12/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.85,02/12/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.94,07/12/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,4.0,08/12/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,4.1,21/12/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,4.09,23/12/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,4.11,10/01/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,4.2,20/01/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,4.31,02/02/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,4.42,10/02/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,4.5,17/02/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,4.6,23/02/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,4.57,24/02/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,4.65,27/02/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,4.59,17/03/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,4.48,24/03/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,4.36,04/04/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,4.28,07/04/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,4.18,24/04/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,4.06,28/04/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.99,11/05/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.89,17/05/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.75,26/05/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.69,05/06/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.56,15/06/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.49,29/06/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.52,30/06/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.49,18/07/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.39,27/07/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.28,08/08/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.19,10/08/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.21,14/08/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.19,16/08/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.17,18/08/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.2,21/08/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.19,22/08/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.2,23/08/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.19,08/09/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,3.07,19/09/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.98,26/09/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.89,05/10/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.79,11/10/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.65,19/10/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.59,27/10/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.49,03/11/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.39,17/11/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.28,28/11/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.19,05/12/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.07,08/12/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.99,21/12/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.86,08/01/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.78,11/01/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.69,22/01/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.56,26/01/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.49,31/01/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.35,13/02/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.29,21/02/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.19,06/03/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.09,23/04/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.97,15/05/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.84,06/06/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.75,08/06/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.66,19/06/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.57,13/07/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.47,30/07/2018
BG Master Fund ICAV,549300XLB80LJSFDO158,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.53,16/05/2018
BG Master Fund ICAV,549300XLB80LJSFDO158,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.66,26/07/2018
BG Master Fund ICAV,549300XLB80LJSFDO158,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.58,19/10/2018
BG Master Fund ICAV,549300XLB80LJSFDO158,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.47,23/10/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.63,15/05/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.86,16/05/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.92,17/05/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.07,18/05/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.22,21/05/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.38,23/05/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.41,24/05/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.58,04/06/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.6,07/06/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.58,13/06/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.49,05/07/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.07,26/07/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.11,03/09/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.21,05/10/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.46,08/10/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.7,09/10/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.88,10/10/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.01,19/10/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.99,24/10/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.05,25/10/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.11,26/10/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.95,21/11/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.02,27/11/2018
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.11,08/01/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.2,09/01/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.31,17/01/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.49,06/02/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.5,15/02/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.61,01/03/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.54,05/03/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.49,06/03/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.56,07/03/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.63,08/03/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.56,19/03/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.49,27/03/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.39,16/04/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.27,25/04/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.14,29/04/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.22,15/05/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.32,20/05/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,2.08,09/07/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.99,05/08/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.83,08/08/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.72,09/08/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.68,12/08/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.7,22/08/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.69,11/09/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.7,16/09/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.56,21/10/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.45,22/10/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.38,04/11/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.29,06/11/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.19,08/11/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.27,09/12/2019
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,1.12,06/01/2020
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.92,09/01/2020
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.79,10/01/2020
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.46,22/01/2020
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.5,09/06/2022
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.63,14/06/2022
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.73,30/09/2022
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.67,14/10/2022
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.59,31/10/2022
BlackRock Investment Management (UK) Limited,549300QXP30FD81KVQ43,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.45,11/11/2022
"Bridgewater Associates, LP",549300Z1Z0SCIDMJKU09,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.5,17/10/2017
"Bridgewater Associates, LP",549300Z1Z0SCIDMJKU09,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.6,18/01/2018
"Bridgewater Associates, LP",549300Z1Z0SCIDMJKU09,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.59,04/04/2018
"Bridgewater Associates, LP",549300Z1Z0SCIDMJKU09,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.48,28/06/2018
CAPEVIEW CAPITAL LLP,549300TUSPYB3IXITC10,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.5,13/06/2018
CAPEVIEW CAPITAL LLP,549300TUSPYB3IXITC10,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.61,25/06/2018
CAPEVIEW CAPITAL LLP,549300TUSPYB3IXITC10,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.4,27/06/2018
Citadel Advisors Europe Limited,5493003FS3JD468P6Z37,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.5,26/02/2024
Citadel Advisors Europe Limited,5493003FS3JD468P6Z37,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.49,04/03/2024
Citadel Advisors Europe Limited,5493003FS3JD468P6Z37,AZIMUT HOLDING SPA,81560025690EF8540635,IT0003261697,0.5,05/03/2024
